# --------------------------------------------------------------------
# USE OF NOAA GML DATA
#
# These data are made freely available to the public and the
# scientific community in the belief that their wide dissemination
# will lead to greater understanding and new scientific insights.
# The availability of these data does not constitute publication
# of the data.  NOAA relies on the ethics and integrity of the user to
# ensure that GML receives fair credit for their work.  If the data
# are obtained for potential use in a publication or presentation,
# GML should be informed at the outset of the nature of this work.
# If the GML data are essential to the work, or if an important
# result or conclusion depends on the GML data, co-authorship
# may be appropriate.  This should be discussed at an early stage in
# the work.  Manuscripts using the GML data should be sent to GML
# for review before they are submitted for publication so we can
# ensure that the quality and limitations of the data are accurately
# represented.
#
# Contact:  Xin Lan (xin.lan@noaa.gov)
#
# File Creation: Fri May  5 04:05:12 2023
#
# RECIPROCITY
#
# Use of these data implies an agreement to reciprocate.
# Laboratories making similar measurements agree to make their
# own data available to the general public and to the scientific
# community in an equally complete and easily accessible form.
# Modelers are encouraged to make available to the community,
# upon request, their own tools used in the interpretation
# of the GML data, namely well documented model code, transport
# fields, modeled mole fractions, and additional information
# necessary for other scientists to repeat the work and to run
# modified versions. Model availability includes collaborative
# support for new users of the models.
# --------------------------------------------------------------------
#
#
# See gml.noaa.gov/ccgg/trends/ for additional details.
#
#
# Uncertainties in the global monthly means are estimated using two
# terms: The first is a bootstrap (resampling) method that varies the
# sites in our network. Each pseudo-network contains the same number of
# sites as our actual NOAA ESRL cooperative global air sampling network,
# but some are repeated and some are excluded. The second term is a
# Monte Carlo method that randomly modifies the data to account for
# measurement uncertainty. In both cases, 100 globally-averaged time
# series are created. Standard deviations of the monthly means are
# calculated, and the two terms (network and analytical) are taken in
# quadrature to give the  reported uncertainties. A default value (-9.9)
# indicates the uncertainty has not yet been calculated for that month.
# Please see Dlugokencky et al., 1994, JGR, vol. 99, 17021-17043, for a
# complete discussion.
#
# CH4 expressed as a mole fraction in dry air, nanomol/mol, abbreviated as ppb
#
# NOTE: In general, the data presented for the last year are subject to change,
# depending on recalibration of the reference gas mixtures used, and other quality
# control procedures. Occasionally, earlier years may also change for the same
# reasons.  Usually these changes are minor.
year,month,decimal,average,average_unc,trend,trend_unc
1990,1,1990.042,1712.00,1.13,1710.36,0.63
1990,2,1990.125,1713.33,1.29,1711.06,0.65
1990,3,1990.208,1714.35,0.94,1711.74,0.66
1990,4,1990.292,1712.66,0.96,1712.42,0.68
1990,5,1990.375,1710.67,1.00,1713.09,0.69
1990,6,1990.458,1708.31,0.80,1713.75,0.70
1990,7,1990.542,1706.38,0.72,1714.42,0.71
1990,8,1990.625,1710.10,1.32,1715.11,0.72
1990,9,1990.708,1717.55,1.44,1715.83,0.72
1990,10,1990.792,1722.05,1.05,1716.58,0.72
1990,11,1990.875,1723.50,0.93,1717.39,0.73
1990,12,1990.958,1723.36,1.01,1718.26,0.73
1991,1,1991.042,1721.60,1.16,1719.22,0.73
1991,2,1991.125,1721.15,1.16,1720.21,0.72
1991,3,1991.208,1722.09,0.97,1721.27,0.72
1991,4,1991.292,1722.64,1.07,1722.44,0.72
1991,5,1991.375,1722.37,1.11,1723.67,0.72
1991,6,1991.458,1719.16,1.17,1724.95,0.72
1991,7,1991.542,1716.20,1.01,1726.26,0.71
1991,8,1991.625,1719.33,1.13,1727.59,0.71
1991,9,1991.708,1726.26,1.51,1728.87,0.71
1991,10,1991.792,1732.81,0.97,1730.10,0.71
1991,11,1991.875,1737.49,0.92,1731.25,0.71
1991,12,1991.958,1739.65,1.01,1732.30,0.70
1992,1,1992.042,1738.89,0.97,1733.24,0.69
1992,2,1992.125,1737.32,1.00,1733.99,0.67
1992,3,1992.208,1736.95,0.92,1734.59,0.66
1992,4,1992.292,1736.66,0.57,1735.08,0.63
1992,5,1992.375,1734.91,0.78,1735.40,0.61
1992,6,1992.458,1731.56,1.08,1735.59,0.58
1992,7,1992.542,1728.90,1.19,1735.66,0.55
1992,8,1992.625,1730.42,1.07,1735.65,0.53
1992,9,1992.708,1734.68,0.77,1735.56,0.51
1992,10,1992.792,1737.77,0.75,1735.44,0.49
1992,11,1992.875,1739.30,1.05,1735.31,0.48
1992,12,1992.958,1738.56,0.93,1735.20,0.47
1993,1,1993.042,1735.77,0.84,1735.13,0.46
1993,2,1993.125,1734.37,0.87,1735.11,0.46
1993,3,1993.208,1735.50,0.90,1735.17,0.45
1993,4,1993.292,1736.71,0.69,1735.30,0.46
1993,5,1993.375,1734.96,0.77,1735.51,0.46
1993,6,1993.458,1730.81,0.90,1735.80,0.47
1993,7,1993.542,1728.05,0.96,1736.16,0.49
1993,8,1993.625,1731.19,1.00,1736.59,0.51
1993,9,1993.708,1738.46,0.98,1737.06,0.54
1993,10,1993.792,1743.36,0.95,1737.58,0.57
1993,11,1993.875,1745.17,0.80,1738.12,0.60
1993,12,1993.958,1744.26,0.90,1738.69,0.62
1994,1,1994.042,1741.43,0.94,1739.28,0.64
1994,2,1994.125,1740.85,1.00,1739.85,0.66
1994,3,1994.208,1741.92,0.89,1740.42,0.66
1994,4,1994.292,1741.95,0.75,1741.03,0.66
1994,5,1994.375,1740.63,1.08,1741.63,0.65
1994,6,1994.458,1736.89,1.25,1742.25,0.63
1994,7,1994.542,1732.43,1.18,1742.86,0.61
1994,8,1994.625,1734.08,1.17,1743.49,0.58
1994,9,1994.708,1742.94,0.91,1744.11,0.56
1994,10,1994.792,1749.85,0.69,1744.72,0.53
1994,11,1994.875,1751.24,0.75,1745.33,0.51
1994,12,1994.958,1751.56,0.81,1745.91,0.49
1995,1,1995.042,1751.05,0.91,1746.48,0.48
1995,2,1995.125,1749.39,0.92,1746.99,0.47
1995,3,1995.208,1748.94,0.65,1747.46,0.47
1995,4,1995.292,1749.48,0.74,1747.91,0.47
1995,5,1995.375,1747.69,1.04,1748.31,0.46
1995,6,1995.458,1742.80,0.98,1748.67,0.46
1995,7,1995.542,1740.09,0.97,1748.98,0.46
1995,8,1995.625,1743.49,1.24,1749.25,0.47
1995,9,1995.708,1749.71,1.20,1749.49,0.47
1995,10,1995.792,1754.26,0.71,1749.70,0.48
1995,11,1995.875,1755.32,0.85,1749.88,0.50
1995,12,1995.958,1753.74,0.93,1750.06,0.52
1996,1,1996.042,1752.34,0.96,1750.24,0.55
1996,2,1996.125,1752.90,1.02,1750.41,0.58
1996,3,1996.208,1752.38,0.90,1750.59,0.61
1996,4,1996.292,1749.90,0.90,1750.79,0.64
1996,5,1996.375,1748.61,0.99,1750.99,0.66
1996,6,1996.458,1746.17,0.97,1751.21,0.68
1996,7,1996.542,1742.24,0.93,1751.43,0.69
1996,8,1996.625,1744.68,1.26,1751.66,0.69
1996,9,1996.708,1753.00,1.37,1751.88,0.68
1996,10,1996.792,1758.98,0.97,1752.10,0.66
1996,11,1996.875,1759.91,0.90,1752.32,0.63
1996,12,1996.958,1756.80,0.78,1752.54,0.60
1997,1,1997.042,1753.32,0.88,1752.77,0.55
1997,2,1997.125,1753.76,0.97,1752.99,0.50
1997,3,1997.208,1755.59,0.76,1753.24,0.45
1997,4,1997.292,1755.57,0.88,1753.52,0.41
1997,5,1997.375,1753.90,0.66,1753.85,0.37
1997,6,1997.458,1750.18,0.86,1754.24,0.34
1997,7,1997.542,1746.22,0.96,1754.70,0.33
1997,8,1997.625,1747.98,0.86,1755.26,0.34
1997,9,1997.708,1755.09,0.87,1755.90,0.36
1997,10,1997.792,1760.26,0.74,1756.64,0.39
1997,11,1997.875,1761.68,0.85,1757.49,0.42
1997,12,1997.958,1761.90,0.72,1758.42,0.45
1998,1,1998.042,1761.51,0.83,1759.46,0.48
1998,2,1998.125,1761.53,1.34,1760.51,0.50
1998,3,1998.208,1763.02,1.54,1761.62,0.51
1998,4,1998.292,1764.72,1.06,1762.80,0.53
1998,5,1998.375,1764.19,0.83,1763.98,0.54
1998,6,1998.458,1760.29,0.65,1765.15,0.55
1998,7,1998.542,1756.16,0.94,1766.28,0.57
1998,8,1998.625,1760.08,0.89,1767.36,0.59
1998,9,1998.708,1770.48,1.26,1768.36,0.61
1998,10,1998.792,1776.21,1.21,1769.26,0.63
1998,11,1998.875,1775.57,0.83,1770.05,0.65
1998,12,1998.958,1774.17,0.81,1770.75,0.66
1999,1,1999.042,1773.99,0.97,1771.34,0.67
1999,2,1999.125,1774.14,1.35,1771.81,0.67
1999,3,1999.208,1774.74,1.13,1772.20,0.66
1999,4,1999.292,1774.98,0.74,1772.51,0.64
1999,5,1999.375,1772.65,0.88,1772.76,0.62
1999,6,1999.458,1767.39,0.85,1772.95,0.59
1999,7,1999.542,1763.02,0.80,1773.10,0.57
1999,8,1999.625,1764.72,0.83,1773.21,0.56
1999,9,1999.708,1771.10,0.86,1773.29,0.55
1999,10,1999.792,1776.65,0.84,1773.36,0.55
1999,11,1999.875,1778.56,0.68,1773.41,0.56
1999,12,1999.958,1777.29,0.73,1773.45,0.57
2000,1,2000.042,1775.72,1.00,1773.47,0.59
2000,2,2000.125,1775.80,1.23,1773.47,0.60
2000,3,2000.208,1776.83,1.33,1773.45,0.61
2000,4,2000.292,1777.40,1.28,1773.40,0.62
2000,5,2000.375,1774.61,1.10,1773.33,0.63
2000,6,2000.458,1768.18,0.97,1773.22,0.63
2000,7,2000.542,1763.62,0.77,1773.09,0.63
2000,8,2000.625,1765.67,1.08,1772.92,0.63
2000,9,2000.708,1772.19,1.13,1772.74,0.63
2000,10,2000.792,1777.15,0.80,1772.53,0.63
2000,11,2000.875,1777.75,0.88,1772.31,0.63
2000,12,2000.958,1775.32,1.01,1772.09,0.64
2001,1,2001.042,1772.88,0.86,1771.87,0.64
2001,2,2001.125,1772.51,0.96,1771.67,0.63
2001,3,2001.208,1773.68,1.02,1771.49,0.63
2001,4,2001.292,1773.91,0.65,1771.33,0.62
2001,5,2001.375,1770.75,0.76,1771.21,0.61
2001,6,2001.458,1765.85,1.02,1771.11,0.60
2001,7,2001.542,1762.81,1.05,1771.05,0.58
2001,8,2001.625,1764.36,1.00,1771.02,0.56
2001,9,2001.708,1770.43,0.93,1771.03,0.54
2001,10,2001.792,1775.53,0.70,1771.06,0.51
2001,11,2001.875,1776.57,0.69,1771.12,0.49
2001,12,2001.958,1775.93,0.95,1771.21,0.48
2002,1,2002.042,1774.11,1.08,1771.31,0.46
2002,2,2002.125,1772.80,1.00,1771.43,0.46
2002,3,2002.208,1773.38,0.66,1771.57,0.46
2002,4,2002.292,1772.73,0.76,1771.73,0.47
2002,5,2002.375,1770.25,0.83,1771.92,0.49
2002,6,2002.458,1766.87,0.94,1772.13,0.51
2002,7,2002.542,1764.34,0.91,1772.38,0.53
2002,8,2002.625,1767.06,0.90,1772.67,0.56
2002,9,2002.708,1773.74,0.98,1773.00,0.58
2002,10,2002.792,1778.25,1.32,1773.37,0.59
2002,11,2002.875,1779.55,1.18,1773.79,0.60
2002,12,2002.958,1779.71,0.75,1774.25,0.60
2003,1,2003.042,1777.55,0.96,1774.76,0.60
2003,2,2003.125,1774.83,1.04,1775.29,0.59
2003,3,2003.208,1774.84,0.80,1775.83,0.58
2003,4,2003.292,1775.75,1.26,1776.40,0.56
2003,5,2003.375,1774.38,1.02,1776.97,0.54
2003,6,2003.458,1771.68,1.36,1777.52,0.53
2003,7,2003.542,1770.76,1.82,1778.02,0.52
2003,8,2003.625,1774.32,1.59,1778.47,0.51
2003,9,2003.708,1780.54,0.99,1778.83,0.51
2003,10,2003.792,1784.67,0.81,1779.10,0.50
2003,11,2003.875,1785.24,0.93,1779.26,0.50
2003,12,2003.958,1783.53,1.02,1779.31,0.50
2004,1,2004.042,1780.85,0.99,1779.23,0.49
2004,2,2004.125,1779.93,0.85,1779.05,0.49
2004,3,2004.208,1780.96,0.83,1778.78,0.49
2004,4,2004.292,1780.74,0.74,1778.39,0.49
2004,5,2004.375,1777.56,0.98,1777.94,0.49
2004,6,2004.458,1772.28,1.20,1777.43,0.50
2004,7,2004.542,1768.01,0.78,1776.89,0.51
2004,8,2004.625,1769.72,0.87,1776.34,0.52
2004,9,2004.708,1775.45,1.05,1775.82,0.53
2004,10,2004.792,1779.68,0.87,1775.34,0.53
2004,11,2004.875,1780.48,0.92,1774.92,0.53
2004,12,2004.958,1778.27,0.94,1774.58,0.53
2005,1,2005.042,1776.03,1.07,1774.31,0.53
2005,2,2005.125,1775.60,0.99,1774.15,0.53
2005,3,2005.208,1775.47,0.94,1774.06,0.53
2005,4,2005.292,1774.63,0.85,1774.04,0.53
2005,5,2005.375,1772.30,0.67,1774.09,0.54
2005,6,2005.458,1768.69,0.97,1774.18,0.55
2005,7,2005.542,1766.33,0.87,1774.30,0.57
2005,8,2005.625,1768.04,1.06,1774.44,0.58
2005,9,2005.708,1773.22,1.19,1774.56,0.59
2005,10,2005.792,1778.61,1.12,1774.67,0.58
2005,11,2005.875,1781.11,0.81,1774.75,0.58
2005,12,2005.958,1780.11,1.27,1774.80,0.56
2006,1,2006.042,1779.50,0.93,1774.81,0.53
2006,2,2006.125,1779.51,0.80,1774.79,0.51
2006,3,2006.208,1777.43,0.71,1774.77,0.48
2006,4,2006.292,1776.15,0.56,1774.74,0.46
2006,5,2006.375,1774.98,0.89,1774.73,0.45
2006,6,2006.458,1769.32,1.23,1774.75,0.45
2006,7,2006.542,1764.20,1.12,1774.83,0.46
2006,8,2006.625,1767.23,1.14,1774.98,0.48
2006,9,2006.708,1774.59,1.33,1775.21,0.50
2006,10,2006.792,1778.25,0.86,1775.53,0.51
2006,11,2006.875,1779.05,0.67,1775.94,0.53
2006,12,2006.958,1779.95,0.82,1776.44,0.54
2007,1,2007.042,1779.24,1.03,1777.02,0.55
2007,2,2007.125,1778.64,0.98,1777.64,0.56
2007,3,2007.208,1780.33,0.86,1778.31,0.57
2007,4,2007.292,1781.15,1.06,1779.03,0.58
2007,5,2007.375,1779.43,1.32,1779.77,0.58
2007,6,2007.458,1775.59,1.02,1780.50,0.59
2007,7,2007.542,1772.60,1.04,1781.21,0.59
2007,8,2007.625,1777.21,1.54,1781.91,0.60
2007,9,2007.708,1785.91,1.59,1782.55,0.60
2007,10,2007.792,1789.86,1.09,1783.16,0.60
2007,11,2007.875,1789.50,0.96,1783.73,0.60
2007,12,2007.958,1788.23,1.07,1784.26,0.60
2008,1,2008.042,1786.75,1.07,1784.80,0.60
2008,2,2008.125,1785.77,1.06,1785.28,0.60
2008,3,2008.208,1786.09,1.23,1785.76,0.60
2008,4,2008.292,1786.85,1.08,1786.27,0.60
2008,5,2008.375,1785.10,0.92,1786.79,0.59
2008,6,2008.458,1780.37,0.88,1787.33,0.57
2008,7,2008.542,1777.59,0.89,1787.88,0.55
2008,8,2008.625,1781.02,0.97,1788.46,0.53
2008,9,2008.708,1787.69,0.98,1789.05,0.51
2008,10,2008.792,1793.74,0.67,1789.64,0.48
2008,11,2008.875,1797.41,1.20,1790.23,0.46
2008,12,2008.958,1796.71,1.18,1790.80,0.46
2009,1,2009.042,1795.13,0.83,1791.37,0.46
2009,2,2009.125,1795.63,1.02,1791.87,0.48
2009,3,2009.208,1796.06,0.98,1792.35,0.50
2009,4,2009.292,1795.64,0.75,1792.80,0.53
2009,5,2009.375,1792.33,0.66,1793.22,0.56
2009,6,2009.458,1786.87,0.84,1793.60,0.59
2009,7,2009.542,1784.95,1.05,1793.96,0.61
2009,8,2009.625,1788.83,0.99,1794.29,0.62
2009,9,2009.708,1794.80,1.29,1794.61,0.63
2009,10,2009.792,1798.02,1.41,1794.92,0.62
2009,11,2009.875,1797.90,0.82,1795.24,0.61
2009,12,2009.958,1796.72,0.93,1795.57,0.60
2010,1,2010.042,1797.11,1.26,1795.92,0.58
2010,2,2010.125,1798.72,1.34,1796.27,0.57
2010,3,2010.208,1799.43,1.20,1796.65,0.57
2010,4,2010.292,1799.63,0.92,1797.06,0.57
2010,5,2010.375,1797.70,1.18,1797.49,0.58
2010,6,2010.458,1792.52,1.29,1797.94,0.59
2010,7,2010.542,1789.42,0.95,1798.40,0.61
2010,8,2010.625,1794.03,0.93,1798.87,0.62
2010,9,2010.708,1801.77,1.00,1799.34,0.63
2010,10,2010.792,1806.50,1.05,1799.80,0.63
2010,11,2010.875,1807.01,1.02,1800.26,0.63
2010,12,2010.958,1803.60,0.97,1800.71,0.62
2011,1,2011.042,1800.47,1.03,1801.16,0.61
2011,2,2011.125,1800.20,0.79,1801.57,0.61
2011,3,2011.208,1800.99,0.58,1801.98,0.60
2011,4,2011.292,1802.89,0.66,1802.38,0.61
2011,5,2011.375,1803.30,0.83,1802.78,0.61
2011,6,2011.458,1799.16,0.69,1803.18,0.63
2011,7,2011.542,1796.16,0.85,1803.57,0.64
2011,8,2011.625,1798.96,1.04,1803.97,0.65
2011,9,2011.708,1803.98,1.80,1804.37,0.65
2011,10,2011.792,1809.50,1.64,1804.77,0.65
2011,11,2011.875,1812.32,1.11,1805.18,0.64
2011,12,2011.958,1810.00,0.94,1805.59,0.63
2012,1,2012.042,1807.28,0.95,1806.03,0.60
2012,2,2012.125,1808.20,1.18,1806.45,0.58
2012,3,2012.208,1809.93,0.82,1806.88,0.56
2012,4,2012.292,1808.46,0.54,1807.33,0.55
2012,5,2012.375,1804.73,1.16,1807.77,0.53
2012,6,2012.458,1800.93,1.18,1808.21,0.53
2012,7,2012.542,1799.29,1.12,1808.65,0.52
2012,8,2012.625,1803.20,1.02,1809.09,0.53
2012,9,2012.708,1810.06,1.13,1809.50,0.53
2012,10,2012.792,1814.74,1.06,1809.90,0.54
2012,11,2012.875,1815.86,1.15,1810.28,0.55
2012,12,2012.958,1814.58,0.84,1810.64,0.56
2013,1,2013.042,1814.14,0.91,1810.99,0.58
2013,2,2013.125,1814.21,1.27,1811.32,0.59
2013,3,2013.208,1813.29,1.00,1811.64,0.60
2013,4,2013.292,1812.84,0.74,1811.97,0.62
2013,5,2013.375,1811.87,0.86,1812.31,0.63
2013,6,2013.458,1808.41,1.41,1812.68,0.64
2013,7,2013.542,1805.70,1.70,1813.09,0.64
2013,8,2013.625,1808.38,1.23,1813.56,0.64
2013,9,2013.708,1814.28,0.98,1814.09,0.64
2013,10,2013.792,1818.56,0.71,1814.68,0.63
2013,11,2013.875,1820.37,0.68,1815.36,0.62
2013,12,2013.958,1819.38,0.89,1816.11,0.61
2014,1,2014.042,1816.91,1.03,1816.97,0.60
2014,2,2014.125,1816.38,1.20,1817.85,0.59
2014,3,2014.208,1818.09,1.21,1818.81,0.58
2014,4,2014.292,1820.92,0.79,1819.85,0.57
2014,5,2014.375,1821.94,0.83,1820.95,0.56
2014,6,2014.458,1818.37,0.81,1822.07,0.55
2014,7,2014.542,1815.63,1.02,1823.22,0.55
2014,8,2014.625,1819.83,1.14,1824.39,0.54
2014,9,2014.708,1826.94,1.15,1825.53,0.54
2014,10,2014.792,1831.26,0.66,1826.64,0.53
2014,11,2014.875,1833.08,0.65,1827.73,0.53
2014,12,2014.958,1833.53,1.05,1828.77,0.53
2015,1,2015.042,1832.91,1.21,1829.79,0.54
2015,2,2015.125,1832.71,0.98,1830.72,0.54
2015,3,2015.208,1833.06,0.76,1831.62,0.54
2015,4,2015.292,1833.23,0.93,1832.51,0.54
2015,5,2015.375,1831.77,0.92,1833.37,0.54
2015,6,2015.458,1827.32,0.85,1834.21,0.54
2015,7,2015.542,1824.83,1.06,1835.03,0.54
2015,8,2015.625,1829.17,1.05,1835.84,0.54
2015,9,2015.708,1836.20,1.03,1836.63,0.54
2015,10,2015.792,1841.50,0.84,1837.41,0.54
2015,11,2015.875,1844.74,0.99,1838.18,0.54
2015,12,2015.958,1844.89,1.06,1838.93,0.55
2016,1,2016.042,1842.43,0.85,1839.69,0.56
2016,2,2016.125,1841.59,0.99,1840.38,0.57
2016,3,2016.208,1842.95,0.76,1841.05,0.57
2016,4,2016.292,1843.75,0.56,1841.73,0.58
2016,5,2016.375,1842.11,0.78,1842.37,0.59
2016,6,2016.458,1837.87,1.12,1842.99,0.59
2016,7,2016.542,1834.24,1.06,1843.57,0.60
2016,8,2016.625,1836.77,1.13,1844.13,0.60
2016,9,2016.708,1844.30,1.35,1844.67,0.59
2016,10,2016.792,1849.97,1.15,1845.18,0.59
2016,11,2016.875,1851.46,1.13,1845.67,0.58
2016,12,2016.958,1851.12,0.93,1846.16,0.57
2017,1,2017.042,1849.83,0.88,1846.65,0.56
2017,2,2017.125,1848.53,1.09,1847.12,0.56
2017,3,2017.208,1848.32,1.16,1847.60,0.55
2017,4,2017.292,1848.64,1.08,1848.11,0.55
2017,5,2017.375,1847.17,0.84,1848.63,0.56
2017,6,2017.458,1842.95,0.96,1849.17,0.57
2017,7,2017.542,1840.41,1.32,1849.73,0.58
2017,8,2017.625,1844.66,1.18,1850.33,0.60
2017,9,2017.708,1852.77,0.99,1850.94,0.62
2017,10,2017.792,1858.09,0.96,1851.57,0.65
2017,11,2017.875,1858.68,0.82,1852.22,0.67
2017,12,2017.958,1856.66,0.94,1852.90,0.70
2018,1,2018.042,1854.48,1.02,1853.60,0.73
2018,2,2018.125,1854.94,0.95,1854.28,0.75
2018,3,2018.208,1856.85,0.95,1854.98,0.77
2018,4,2018.292,1856.69,1.09,1855.71,0.80
2018,5,2018.375,1854.77,1.65,1856.44,0.81
2018,6,2018.458,1851.96,1.67,1857.18,0.83
2018,7,2018.542,1849.06,1.58,1857.92,0.84
2018,8,2018.625,1851.88,1.69,1858.68,0.85
2018,9,2018.708,1860.44,0.97,1859.41,0.84
